007972067 ;       15639;   ;pago      ;https://certificacion.webpay.cl         ;25112016      ;131520;200.27.24.112  ;OK ;597026007976        ;Redireccion web                                                         
007972067 ;       15639;   ;pago      ;https://certificacion.webpay.cl         ;25112016      ;131520;200.27.24.112  ;OK ;597026007976        ;Todo OK                                                                 
          ;       15644;   ;resultado ;Desencriptando                          ;25112016      ;131538;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       15644;   ;resultado ;Validacion                              ;25112016      ;131538;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       15644;   ;resultado ;57                                      ;25112016      ;131538;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;       15644;   ;resultado ;57                                      ;25112016      ;131538;200.10.12.55   ;OK ;                    ;http://testing.4tiempos.cl/modules/webpaykcc/validate.php               
7972067   ;       15644;   ;transacc  ;7972067                                 ;25112016      ;131538;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
7972067   ;       15644;   ;resultado ;logro abrir_conexion                    ;25112016      ;131538;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
7972067   ;       15644;   ;transacc  ;7972067                                 ;25112016      ;131538;200.10.12.55   ;OK ;597026007976        ;POST a url http://testing.4tiempos.cl/modules/webpaykcc/validate.php    
7972067   ;       15644;   ;transacc  ;7972067                                 ;25112016      ;131538;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;       15645;   ;check_mac ;                                        ;25112016      ;131538;EMPTY          ;OK ;                    ;Todo OK                                                                 
7972067   ;       15644;   ;transacc  ;7972067                                 ;25112016      ;131538;200.10.12.55   ;OK ;597026007976        ;Llego ACK del Comercio                                                  
7972067   ;       15644;   ;resultado ;57                                      ;25112016      ;131538;200.10.12.55   ;OK ;597026007976        ;tienda acepto transaccion                                               
7972067   ;       15644;   ;resultado ;57                                      ;25112016      ;131538;200.10.12.55   ;OK ;597026007976        ;respuesta enviada a TBK (ACK)                                           
7972067   ;       15644;   ;resultado ;57                                      ;25112016      ;131538;200.10.12.55   ;OK ;597026007976        ;Todo OK                                                                 
          ;       15651;   ;Filtro    ;Inicio                                  ;25112016      ;131636;200.27.24.112  ;OK ;                    ;Inicio de filtrado                                                      
          ;       15651;   ;Filtro    ;tbk_param.txt                           ;25112016      ;131636;200.27.24.112  ;OK ;                    ;Archivo parseado                                                        
          ;       15651;   ;Filtro    ;Terminado                               ;25112016      ;131636;200.27.24.112  ;OK ;                    ;Datos Filtrados con exito                                               
007979655 ;       15651;   ;pago      ;inicio                                  ;25112016      ;131636;200.27.24.112  ;OK ;597026007976        ;Parseo realizado                                                        
007979655 ;       15651;   ;pago      ;https://certificacion.webpay.cl         ;25112016      ;131636;200.27.24.112  ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
007979655 ;       15651;   ;pago      ;https://certificacion.webpay.cl         ;25112016      ;131636;200.27.24.112  ;OK ;597026007976        ;Mac generado                                                            
007979655 ;       15651;   ;pago      ;https://certificacion.webpay.cl         ;25112016      ;131636;200.27.24.112  ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
007979655 ;       15651;   ;pago      ;https://certificacion.webpay.cl         ;25112016      ;131636;200.27.24.112  ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
007979655 ;       15651;   ;pago      ;https://certificacion.webpay.cl         ;25112016      ;131636;200.27.24.112  ;OK ;597026007976        ;Datos listos para ser enviados                                          
007979655 ;       15651;   ;pago      ;https://certificacion.webpay.cl         ;25112016      ;131636;200.27.24.112  ;OK ;597026007976        ;Medio 2: Por redireccion                                                
007979655 ;       15651;   ;pago      ;https://certificacion.webpay.cl         ;25112016      ;131636;200.27.24.112  ;OK ;597026007976        ;Redireccion web                                                         
007979655 ;       15651;   ;pago      ;https://certificacion.webpay.cl         ;25112016      ;131636;200.27.24.112  ;OK ;597026007976        ;Todo OK                                                                 
          ;       15656;   ;resultado ;Desencriptando                          ;25112016      ;131710;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       15656;   ;resultado ;Validacion                              ;25112016      ;131710;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       15656;   ;resultado ;58                                      ;25112016      ;131710;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;       15656;   ;resultado ;58                                      ;25112016      ;131710;200.10.12.55   ;OK ;                    ;http://testing.4tiempos.cl/modules/webpaykcc/validate.php               
7979655   ;       15656;   ;transacc  ;7979655                                 ;25112016      ;131710;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
7979655   ;       15656;   ;resultado ;logro abrir_conexion                    ;25112016      ;131710;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
7979655   ;       15656;   ;transacc  ;7979655                                 ;25112016      ;131710;200.10.12.55   ;OK ;597026007976        ;POST a url http://testing.4tiempos.cl/modules/webpaykcc/validate.php    
7979655   ;       15656;   ;transacc  ;7979655                                 ;25112016      ;131710;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;       15657;   ;check_mac ;                                        ;25112016      ;131710;EMPTY          ;OK ;                    ;Todo OK                                                                 
7979655   ;       15656;   ;transacc  ;7979655                                 ;25112016      ;131711;200.10.12.55   ;OK ;597026007976        ;Llego ACK del Comercio                                                  
7979655   ;       15656;   ;resultado ;58                                      ;25112016      ;131711;200.10.12.55   ;OK ;597026007976        ;tienda acepto transaccion                                               
7979655   ;       15656;   ;resultado ;58                                      ;25112016      ;131711;200.10.12.55   ;OK ;597026007976        ;respuesta enviada a TBK (ACK)                                           
7979655   ;       15656;   ;resultado ;58                                      ;25112016      ;131711;200.10.12.55   ;OK ;597026007976        ;Todo OK                                                                 
          ;       15662;   ;Filtro    ;Inicio                                  ;25112016      ;131917;200.27.24.112  ;OK ;                    ;Inicio de filtrado                                                      
          ;       15662;   ;Filtro    ;tbk_param.txt                           ;25112016      ;131917;200.27.24.112  ;OK ;                    ;Archivo parseado                                                        
          ;       15662;   ;Filtro    ;Terminado                               ;25112016      ;131917;200.27.24.112  ;OK ;                    ;Datos Filtrados con exito                                               
